a_input,ampl_rec,cstart,cstop,dur,ed_rec,ed_rec_err,inlc,istart,istop,phi0,theta,total_n_valid_data_points,tstart,tstop,Protratio
0.25,0.04493052573064449,,,0.052516411378555006,175.7151890569743,23.416295010316432,1.0,733.0,737.0,1.4,5.0,3200.0,10.62363238512035,10.676148796498905,0.13129102844638751
0.25,0.04464598421089683,,,0.052516411378555006,177.07247007409225,23.474260224665652,6.0,734.0,738.0,3.4,5.0,3200.0,10.63676148796499,10.689277899343544,0.13129102844638751
0.25,0.11485554127065556,,,0.1312910284463893,751.0399284789099,36.44924399673929,24.0,730.0,740.0,3.4,5.0,3200.0,10.584245076586432,10.715536105032822,0.3282275711159732
0.25,0.06227546338448642,,,0.1575492341356668,692.9204808822684,40.65509374714966,39.0,738.0,750.0,-0.4,5.0,3200.0,10.689277899343544,10.846827133479211,0.393873085339167
0.25,0.08810303592417457,,,0.14442013129102804,837.7699989178119,39.251436230438564,56.0,739.0,750.0,-0.4,5.0,3200.0,10.702407002188183,10.846827133479211,0.3610503282275701
0.25,0.11362563680557103,,,0.1838074398249443,1190.7837200450524,43.7141162704879,70.0,735.0,749.0,5.4,5.0,3200.0,10.649890590809628,10.833698030634572,0.45951859956236074
0.25,0.10773031111732334,,,0.18380743982494607,1051.4691382298392,42.84673850712822,81.0,737.0,751.0,-0.4,5.0,3200.0,10.676148796498905,10.859956236323852,0.4595185995623652
0.25,0.10655462685794848,,,0.17067833698030732,1004.8129342385802,42.26105263090207,86.00000000000001,738.0,751.0,-0.4,5.0,3200.0,10.689277899343544,10.859956236323852,0.4266958424507683
0.5,0.060399594807311274,,,0.15754923413566857,588.0201335882791,40.40990161164897,1.0,732.0,744.0,3.4,5.0,3200.0,10.61050328227571,10.768052516411379,0.3938730853391714
0.5,0.05736067676611856,,,0.1838074398249443,752.442218928091,43.85812043267254,6.0,733.0,747.0,-0.4,5.0,3200.0,10.62363238512035,10.807439824945295,0.45951859956236074
0.5,0.13691199303774004,,,0.19693654266958305,1381.8722925095797,45.52284872119235,24.0,734.0,749.0,5.4,5.0,3200.0,10.63676148796499,10.833698030634572,0.4923413566739576
0.5,0.17129925550343938,,,0.2100656455142218,1867.269011146001,47.18026875237412,39.0,734.0,750.0,5.4,5.0,3200.0,10.63676148796499,10.846827133479211,0.5251641137855545
0.5,0.2057722027864577,,,0.19693654266958305,2131.2271636550777,46.86725974924914,56.0,734.0,749.0,5.4,5.0,3200.0,10.63676148796499,10.833698030634572,0.4923413566739576
0.5,0.17822053303637997,,,0.21006564551422358,1959.935656773294,47.23773220368326,70.0,737.0,753.0,-0.4,5.0,3200.0,10.676148796498905,10.886214442013129,0.5251641137855589
0.5,0.2370019336083269,,,0.19693654266958305,2406.7925346765037,47.28002790156187,81.0,735.0,750.0,5.4,5.0,3200.0,10.649890590809628,10.846827133479211,0.4923413566739576
0.5,0.1943344048697706,,,0.18380743982494607,2013.7911535168178,46.123824999343505,86.00000000000001,737.0,751.0,-0.4,5.0,3200.0,10.676148796498905,10.859956236323852,0.4595185995623652
1.0,0.1589362792663329,,,0.4070021881838084,2325.4819452817032,61.42060912169982,1.0,729.0,760.0,7.4,5.0,3200.0,10.571115973741794,10.978118161925602,1.017505470459521
1.0,0.12476557504794217,,,0.4070021881838084,2108.1692413839905,64.02877842386405,6.0,729.0,760.0,1.4,5.0,3200.0,10.571115973741794,10.978118161925602,1.017505470459521
1.0,0.21876164314845226,,,0.26258205689278036,3042.909834412864,54.45945723063758,24.0,732.0,752.0,5.4,5.0,3200.0,10.61050328227571,10.87308533916849,0.6564551422319509
1.0,0.23747694283046616,,,0.24945295404813983,3037.656876726736,52.57513141840212,39.0,734.0,753.0,-0.4,5.0,3200.0,10.63676148796499,10.886214442013129,0.6236323851203496
1.0,0.39925023396911685,,,0.22319474835886233,4412.625820955135,54.75260313089682,56.0,734.0,751.0,5.4,5.0,3200.0,10.63676148796499,10.859956236323852,0.5579868708971558
1.0,0.4051184406154047,,,0.23632385120350108,4788.701307273401,56.22752194444439,70.0,733.0,751.0,5.4,5.0,3200.0,10.62363238512035,10.859956236323852,0.5908096280087527
1.0,0.3450749912568769,,,0.22319474835886233,3787.6329901117356,52.807796744071595,81.0,736.0,753.0,-0.4,5.0,3200.0,10.663019693654267,10.886214442013129,0.5579868708971558
1.0,0.3570196284155398,,,0.22319474835886233,3919.7612853076366,53.29364359532294,86.00000000000001,736.0,753.0,-0.4,5.0,3200.0,10.663019693654267,10.886214442013129,0.5579868708971558
2.0,0.4191974694582312,,,0.7352297592997807,7434.388856632984,81.71805173679842,1.0,727.0,783.0,5.4,5.0,3200.0,10.544857768052516,11.280087527352297,1.8380743982494518
2.0,0.38998740466618687,,,0.8008752735229763,7573.143846885882,84.10369981382175,6.0,728.0,789.0,-0.4,5.0,3200.0,10.557986870897155,11.358862144420131,2.0021881838074407
2.0,0.21785754477221997,,,0.4857768052516409,5315.239132124141,74.39974176340235,24.0,728.0,765.0,1.4,5.0,3200.0,10.557986870897155,11.043763676148796,1.2144420131291023
2.0,0.261464067770355,,,0.4857768052516409,4908.827473010876,69.78161294590643,39.0,727.0,764.0,1.4,5.0,3200.0,10.544857768052516,11.030634573304157,1.2144420131291023
2.0,0.5314443918398837,,,0.27571115973741733,7106.234446040684,64.71750898934519,56.0,734.0,755.0,-0.4,5.0,3200.0,10.63676148796499,10.912472647702407,0.6892778993435433
2.0,0.5688656732107258,,,0.27571115973741733,7451.7465999705055,65.02072739706979,70.0,734.0,755.0,-0.4,5.0,3200.0,10.63676148796499,10.912472647702407,0.6892778993435433
2.0,0.736550871506342,,,0.26258205689278036,9292.246678950522,69.60687701595367,81.0,732.0,752.0,5.4,5.0,3200.0,10.61050328227571,10.87308533916849,0.6564551422319509
2.0,0.7242639050673079,,,0.2757111597374191,9188.798694509373,69.34415860000406,86.00000000000001,732.0,753.0,5.4,5.0,3200.0,10.61050328227571,10.886214442013129,0.6892778993435478
0.25,0.04514731941722605,,,0.07877461706783428,253.21083422989858,28.612666134885103,1.0,732.0,738.0,1.4,10.0,3200.0,10.61050328227571,10.689277899343544,0.1969365426695857
0.25,0.06073305773881277,,,0.07877461706783428,349.9631797328931,28.843111585181973,6.0,732.0,738.0,3.4,10.0,3200.0,10.61050328227571,10.689277899343544,0.1969365426695857
0.25,0.07515859429037741,,,0.14442013129102804,651.6170285346217,38.680105263965146,24.0,738.0,749.0,-0.4,10.0,3200.0,10.689277899343544,10.833698030634572,0.3610503282275701
0.25,0.0940914607740011,,,0.1575492341356668,948.6695196011201,40.86549439940752,39.0,735.0,747.0,5.4,10.0,3200.0,10.649890590809628,10.807439824945295,0.393873085339167
0.25,0.10930153965852196,,,0.17067833698030555,1128.9898678374693,42.038356451492504,56.0,735.0,748.0,5.4,10.0,3200.0,10.649890590809628,10.820568927789934,0.42669584245076386
