istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,theta,a_input,inlc
,,,,,,,,,,3200.0,0.1,0.5,10.0
,,,,,,,,,,3200.0,5.1,0.5,10.0
,,,,,,,,,,3200.0,10.1,0.5,10.0
,,,,,,,,,,3200.0,15.1,0.5,10.0
,,,,,,,,,,3200.0,20.1,0.5,10.0
,,,,,,,,,,3200.0,25.1,0.5,10.0
733,737,,,10.62363238512035,10.676148796498905,960.0098888750365,137.1240106384086,0.24662691424980898,0.052516411378555006,3200.0,30.1,0.5,10.0
732,737,,,10.61050328227571,10.676148796498905,1303.2460862635844,155.27104947025097,0.28373269360247044,0.06564551422319553,3200.0,35.1,0.5,10.0
732,739,,,10.61050328227571,10.702407002188183,1862.6184082228185,184.03916340065336,0.3117588244908265,0.09190371991247304,3200.0,40.1,0.5,10.0
732,739,,,10.61050328227571,10.702407002188183,2068.6308319053555,188.21104999636913,0.34412434774234857,0.09190371991247304,3200.0,45.1,0.5,10.0
732,739,,,10.61050328227571,10.702407002188183,2261.135479443394,191.96747405796228,0.37999851084696656,0.09190371991247304,3200.0,50.1,0.5,10.0
731,740,,,10.597374179431071,10.715536105032822,2834.5957068263074,215.87613812482866,0.3882271715327368,0.11816192560175054,3200.0,55.1,0.5,10.0
731,741,,,10.597374179431071,10.72866520787746,3233.4141806907637,228.59247747646748,0.42744904709772746,0.1312910284463893,3200.0,60.1,0.5,10.0
731,741,,,10.597374179431071,10.72866520787746,3318.4461416830277,229.86922674168858,0.44336890834864273,0.1312910284463893,3200.0,65.1,0.5,10.0
731,742,,,10.597374179431071,10.741794310722101,3688.1675561872826,241.7049668071157,0.4366153380891238,0.14442013129102982,3200.0,70.1,0.5,10.0
731,742,,,10.597374179431071,10.741794310722101,3796.6385897903647,243.5273423078451,0.44758528006293696,0.14442013129102982,3200.0,75.1,0.5,10.0
731,743,,,10.597374179431071,10.75492341356674,4032.783463203795,252.31354328316272,0.4695295843679259,0.15754923413566857,3200.0,80.1,0.5,10.0
731,744,,,10.597374179431071,10.768052516411379,4298.800869501349,261.58038073021413,0.464489222292942,0.17067833698030732,3200.0,85.1,0.5,10.0
,,,,,,,,,,3200.0,0.1,1.0,10.0
,,,,,,,,,,3200.0,5.1,1.0,10.0
733,736,,,10.62363238512035,10.663019693654267,730.207864327946,119.0100947507807,0.24952990789966245,0.039387308533916254,3200.0,10.1,1.0,10.0
732,737,,,10.61050328227571,10.676148796498905,1308.3850618822623,155.4811579800708,0.2845858418084424,0.06564551422319553,3200.0,15.1,1.0,10.0
731,738,,,10.597374179431071,10.689277899343544,2078.4052720786563,188.12988873841368,0.3565083286590982,0.09190371991247304,3200.0,20.1,1.0,10.0
731,739,,,10.597374179431071,10.702407002188183,2695.0794996266673,206.61576367397018,0.41887683998620573,0.10503282275711179,3200.0,25.1,1.0,10.0
730,741,,,10.584245076586432,10.72866520787746,3753.3666072310675,242.0573865528747,0.46932853389362905,0.14442013129102804,3200.0,30.1,1.0,10.0
730,741,,,10.584245076586432,10.72866520787746,4215.124691406992,249.25206805135093,0.5546951066867258,0.14442013129102804,3200.0,35.1,1.0,10.0
730,744,,,10.584245076586432,10.768052516411379,5380.445063018881,280.97652651541534,0.5932347582083375,0.18380743982494607,3200.0,40.1,1.0,10.0
730,746,,,10.584245076586432,10.794310722100656,6368.96693566386,303.07808442189287,0.6443894744930863,0.21006564551422358,3200.0,45.1,1.0,10.0
730,748,,,10.584245076586432,10.820568927789934,7370.43577631498,323.6952786059609,0.6937999696317192,0.23632385120350108,3200.0,50.1,1.0,10.0
730,751,,,10.584245076586432,10.859956236323852,8525.716877493758,348.15270980678,0.7613313858888058,0.2757111597374191,3200.0,55.1,1.0,10.0
730,750,,,10.584245076586432,10.846827133479211,8889.283292471786,349.8149715656561,0.7876286427358794,0.2625820568927786,3200.0,60.1,1.0,10.0
730,752,,,10.584245076586432,10.87308533916849,9818.734957236431,367.4501324933697,0.8292566036299693,0.28884026258205786,3200.0,65.1,1.0,10.0
730,752,,,10.584245076586432,10.87308533916849,10130.757121473931,371.141339001734,0.8383897808798311,0.28884026258205786,3200.0,70.1,1.0,10.0
730,754,,,10.584245076586432,10.899343544857768,10955.8475538389,386.5320386608462,0.8728894546541945,0.31509846827133536,3200.0,75.1,1.0,10.0
730,756,,,10.584245076586432,10.925601750547045,11563.784812812519,398.45455918938654,0.8661658650100197,0.34135667396061287,3200.0,80.1,1.0,10.0
730,754,,,10.584245076586432,10.899343544857768,11304.596503970704,390.38505040847116,0.8753440757329702,0.31509846827133536,3200.0,85.1,1.0,10.0
732,736,,,10.61050328227571,10.663019693654267,981.8622027963926,137.66177870278125,0.25338750707505175,0.05251641137855678,3200.0,0.1,1.5,10.0
732,737,,,10.61050328227571,10.676148796498905,1476.8861397851597,159.32326876173113,0.3208211533920742,0.06564551422319553,3200.0,5.1,1.5,10.0
731,738,,,10.597374179431071,10.689277899343544,2267.396794745442,191.72138095432354,0.39552368655338355,0.09190371991247304,3200.0,10.1,1.5,10.0
731,740,,,10.597374179431071,10.715536105032822,3082.14069605665,219.5772372110642,0.443818550034883,0.11816192560175054,3200.0,15.1,1.5,10.0
730,741,,,10.584245076586432,10.72866520787746,4089.6733826715986,247.34971757271396,0.5219741087016365,0.14442013129102804,3200.0,20.1,1.5,10.0
730,743,,,10.584245076586432,10.75492341356674,5127.385249199079,272.43455290126474,0.6157941334113288,0.17067833698030732,3200.0,25.1,1.5,10.0
730,744,,,10.584245076586432,10.768052516411379,6076.843442308073,290.7859287872381,0.6868571843393385,0.18380743982494607,3200.0,30.1,1.5,10.0
730,748,,,10.584245076586432,10.820568927789934,7801.820636473662,329.04261888104253,0.7536413193084734,0.23632385120350108,3200.0,35.1,1.5,10.0
729,754,,,10.571115973741794,10.899343544857768,10170.646323999801,379.53179963134505,0.8404857927904938,0.3282275711159741,3200.0,40.1,1.5,10.0
729,757,,,10.571115973741794,10.938730853391684,11910.425648016697,407.8160218918761,0.934377824041754,0.36761487964989037,3200.0,45.1,1.5,10.0
729,758,,,10.571115973741794,10.951859956236323,13071.211946083049,423.1612560506653,0.9897812528171703,0.3807439824945291,3200.0,50.1,1.5,10.0
729,760,,,10.571115973741794,10.978118161925602,14444.108805782866,442.7260818653055,1.0815381323923559,0.4070021881838084,3200.0,55.1,1.5,10.0
729,761,,,10.571115973741794,10.99124726477024,15689.612731457077,457.94679477254505,1.1314754369924365,0.42013129102844715,3200.0,60.1,1.5,10.0
729,761,,,10.571115973741794,10.99124726477024,16270.437784684891,463.8449556838758,1.1453472489343186,0.42013129102844715,3200.0,65.1,1.5,10.0
729,761,,,10.571115973741794,10.99124726477024,16988.156966221086,471.40476984272703,1.1840567316537602,0.42013129102844715,3200.0,70.1,1.5,10.0
729,763,,,10.571115973741794,11.017505470459518,17873.436682724532,484.04300766454315,1.2423801374767844,0.44638949671772465,3200.0,75.1,1.5,10.0
729,763,,,10.571115973741794,11.017505470459518,18173.960722584452,487.0753002852063,1.2332596556418616,0.44638949671772465,3200.0,80.1,1.5,10.0
729,762,,,10.571115973741794,11.00437636761488,18262.66387795422,486.1182763513125,1.2606545565785505,0.4332603938730859,3200.0,85.1,1.5,10.0
731,739,,,10.597374179431071,10.702407002188183,2476.930334415052,202.5484161668009,0.39695819579606817,0.10503282275711179,3200.0,0.1,2.0,10.0
731,740,,,10.597374179431071,10.715536105032822,3149.7734846296025,220.80564593930987,0.45302995340218155,0.11816192560175054,3200.0,5.1,2.0,10.0
730,741,,,10.584245076586432,10.72866520787746,4205.1833920926665,249.04353969330984,0.5525492822903391,0.14442013129102804,3200.0,10.1,2.0,10.0
730,743,,,10.584245076586432,10.75492341356674,5314.844257418564,275.4325708506619,0.6284280537207589,0.17067833698030732,3200.0,15.1,2.0,10.0
730,746,,,10.584245076586432,10.794310722100656,6660.8393954751355,306.69804465008883,0.6953475808573855,0.21006564551422358,3200.0,20.1,2.0,10.0
730,748,,,10.584245076586432,10.820568927789934,7987.956630271915,331.3057393047108,0.8100997820692333,0.23632385120350108,3200.0,25.1,2.0,10.0
729,756,,,10.571115973741794,10.925601750547045,10974.111246527968,394.59205587911083,0.8915175139700227,0.3544857768052516,3200.0,30.1,2.0,10.0
729,759,,,10.571115973741794,10.964989059080962,12891.334909101097,423.69748700233265,0.9752972264904525,0.39387308533916787,3200.0,35.1,2.0,10.0
729,761,,,10.571115973741794,10.99124726477024,14589.110223982138,446.6918621717938,1.085412365252346,0.42013129102844715,3200.0,40.1,2.0,10.0
729,762,,,10.571115973741794,11.00437636761488,15986.761114555975,463.62000356555103,1.1630955813526547,0.4332603938730859,3200.0,45.1,2.0,10.0
729,763,,,10.571115973741794,11.017505470459518,17588.713648927445,482.0719032104713,1.2568830910863724,0.44638949671772465,3200.0,50.1,2.0,10.0
729,765,,,10.571115973741794,11.043763676148796,19086.468079459384,500.8026502338676,1.3068281809412796,0.47264770240700216,3200.0,55.1,2.0,10.0
729,765,,,10.571115973741794,11.043763676148796,20283.68233770669,512.8148873790981,1.4068907230893073,0.47264770240700216,3200.0,60.1,2.0,10.0
729,765,,,10.571115973741794,11.043763676148796,21236.010640770437,522.254500284992,1.4520329594054835,0.47264770240700216,3200.0,65.1,2.0,10.0
729,768,,,10.571115973741794,11.083150984682714,22575.25742470124,539.6374576353917,1.4732356664912802,0.5120350109409202,3200.0,70.1,2.0,10.0
729,769,,,10.571115973741794,11.096280087527353,23557.939448216064,550.6721225094692,1.5328710321753385,0.5251641137855589,3200.0,75.1,2.0,10.0
729,767,,,10.571115973741794,11.070021881838073,23481.358512306262,546.8762224355924,1.5214159955703828,0.49890590809627966,3200.0,80.1,2.0,10.0
729,769,,,10.571115973741794,11.096280087527353,24112.424319528338,556.0103775243641,1.577096006516895,0.5251641137855589,3200.0,85.1,2.0,10.0
,,,,,,,,,,3200.0,0.1,0.5,30.0
,,,,,,,,,,3200.0,5.1,0.5,30.0
,,,,,,,,,,3200.0,10.1,0.5,30.0
,,,,,,,,,,3200.0,15.1,0.5,30.0
732,735,,,10.61050328227571,10.649890590809628,659.5947700339672,117.20911838548686,0.20129702632249336,0.03938730853391803,3200.0,20.1,0.5,30.0
732,735,,,10.61050328227571,10.649890590809628,698.3563501721776,118.2329576096019,0.22081109435349,0.03938730853391803,3200.0,25.1,0.5,30.0
732,736,,,10.61050328227571,10.663019693654267,980.0822477091365,137.5700928363117,0.2498433622797842,0.05251641137855678,3200.0,30.1,0.5,30.0
731,736,,,10.597374179431071,10.663019693654267,1315.1009785351996,155.46634135643345,0.2883744283999641,0.06564551422319553,3200.0,35.1,0.5,30.0
732,736,,,10.61050328227571,10.663019693654267,1202.0063337035135,143.27197367494702,0.3017795552112734,0.05251641137855678,3200.0,40.1,0.5,30.0
731,737,,,10.597374179431071,10.676148796498905,1751.8296959331797,173.88517687594077,0.33067825019549146,0.07877461706783428,3200.0,45.1,0.5,30.0
731,738,,,10.597374179431071,10.689277899343544,2057.293193173906,187.605084801847,0.3518575012097853,0.09190371991247304,3200.0,50.1,0.5,30.0
731,738,,,10.597374179431071,10.689277899343544,2156.0528096332177,189.61694749652884,0.36130098835903124,0.09190371991247304,3200.0,55.1,0.5,30.0
731,738,,,10.597374179431071,10.689277899343544,2267.677224604966,191.76954052962034,0.3826587600291005,0.09190371991247304,3200.0,60.1,0.5,30.0
731,739,,,10.597374179431071,10.702407002188183,2575.4204151758995,204.3085192224932,0.4049296248111558,0.10503282275711179,3200.0,65.1,0.5,30.0
731,740,,,10.597374179431071,10.715536105032822,2856.678641307066,215.98276441382325,0.3983598805094877,0.11816192560175054,3200.0,70.1,0.5,30.0
731,740,,,10.597374179431071,10.715536105032822,2916.757792827725,217.2246733865435,0.40027566723369334,0.11816192560175054,3200.0,75.1,0.5,30.0
731,741,,,10.597374179431071,10.72866520787746,3185.9896786167506,227.71474536080538,0.4098522311417907,0.1312910284463893,3200.0,80.1,0.5,30.0
731,742,,,10.597374179431071,10.741794310722101,3448.516002687345,237.90797698746408,0.427075245210103,0.14442013129102982,3200.0,85.1,0.5,30.0
732,735,,,10.61050328227571,10.649890590809628,646.3262094562843,116.87751131618455,0.19712468222332147,0.03938730853391803,3200.0,0.1,1.0,30.0
731,735,,,10.597374179431071,10.649890590809628,980.9303641107227,137.7325152865249,0.23705648357877585,0.05251641137855678,3200.0,5.1,1.0,30.0
731,736,,,10.597374179431071,10.663019693654267,1364.5524868520852,156.62931098983148,0.28713027524602297,0.06564551422319553,3200.0,10.1,1.0,30.0
731,736,,,10.597374179431071,10.663019693654267,1562.311559717395,161.18232465242627,0.3231084678513214,0.06564551422319553,3200.0,15.1,1.0,30.0
730,737,,,10.584245076586432,10.676148796498905,2258.3863763009012,191.2042086376449,0.36874098745216144,0.09190371991247304,3200.0,20.1,1.0,30.0
730,737,,,10.584245076586432,10.676148796498905,2519.337908292355,196.31817071188507,0.4272542611738348,0.09190371991247304,3200.0,25.1,1.0,30.0
730,738,,,10.584245076586432,10.689277899343544,3024.9724846811982,211.93990796045014,0.49772381416737477,0.10503282275711179,3200.0,30.1,1.0,30.0
730,738,,,10.584245076586432,10.689277899343544,3352.4150111881513,218.3005075344752,0.5514560758871352,0.10503282275711179,3200.0,35.1,1.0,30.0
730,739,,,10.584245076586432,10.702407002188183,3863.3089146074076,232.83320976062893,0.5755835374615146,0.11816192560175054,3200.0,40.1,1.0,30.0
730,740,,,10.584245076586432,10.715536105032822,4485.7531116418895,248.44591501720893,0.630132550442009,0.1312910284463893,3200.0,45.1,1.0,30.0
730,741,,,10.584245076586432,10.72866520787746,5033.05969088405,262.01613475928934,0.6656292936217973,0.14442013129102804,3200.0,50.1,1.0,30.0
730,742,,,10.584245076586432,10.741794310722101,5491.951719937769,273.73816817251185,0.6953301217282599,0.15754923413566857,3200.0,55.1,1.0,30.0
730,744,,,10.584245076586432,10.768052516411379,6328.398654931542,294.18731071849874,0.7378760824465633,0.18380743982494607,3200.0,60.1,1.0,30.0
730,746,,,10.584245076586432,10.794310722100656,7020.127943199787,311.38821490505194,0.7605179748798083,0.21006564551422358,3200.0,65.1,1.0,30.0
730,747,,,10.584245076586432,10.807439824945295,7628.925145443812,323.39487636240096,0.7723350889131058,0.22319474835886233,3200.0,70.1,1.0,30.0
730,752,,,10.584245076586432,10.87308533916849,8955.595333334226,356.52835828983683,0.7972531322474141,0.28884026258205786,3200.0,75.1,1.0,30.0
730,751,,,10.584245076586432,10.859956236323852,9119.05160918189,356.01253256850055,0.7996049963259937,0.2757111597374191,3200.0,80.1,1.0,30.0
730,752,,,10.584245076586432,10.87308533916849,9538.476721650673,363.8843013376585,0.7780707506562594,0.28884026258205786,3200.0,85.1,1.0,30.0
730,736,,,10.584245076586432,10.663019693654267,1767.5619357057626,173.94930301163043,0.3137048011582,0.07877461706783428,3200.0,0.1,1.5,30.0
730,736,,,10.584245076586432,10.663019693654267,2042.5077271022997,179.73051484893082,0.36791775158070683,0.07877461706783428,3200.0,5.1,1.5,30.0
730,737,,,10.584245076586432,10.676148796498905,2600.7308651637854,197.9108127954355,0.43984681268141235,0.09190371991247304,3200.0,10.1,1.5,30.0
730,737,,,10.584245076586432,10.676148796498905,2962.1153179414396,205.12999796332386,0.4919835951610514,0.09190371991247304,3200.0,15.1,1.5,30.0
729,738,,,10.571115973741794,10.689277899343544,3811.608165390552,231.69749968076448,0.5669245269569498,0.11816192560175054,3200.0,20.1,1.5,30.0
729,739,,,10.571115973741794,10.702407002188183,4440.94439588963,247.30133678376498,0.6321637251511658,0.1312910284463893,3200.0,25.1,1.5,30.0
729,740,,,10.571115973741794,10.715536105032822,5136.385918349281,263.32490724610767,0.6932410339356028,0.14442013129102804,3200.0,30.1,1.5,30.0
755,759,,,10.912472647702407,10.964989059080962,848.0541259580584,134.59218468549076,0.19744190026276587,0.052516411378555006,3200.0,30.1,1.5,30.0
729,740,,,10.571115973741794,10.715536105032822,5580.396532250238,270.8366457980888,0.7695679836818385,0.14442013129102804,3200.0,35.1,1.5,30.0
752,759,,,10.87308533916849,10.964989059080962,1547.020982573787,179.1463200444796,0.2101398263313723,0.09190371991247126,3200.0,35.1,1.5,30.0
729,741,,,10.571115973741794,10.72866520787746,6394.718388266522,287.8736686704757,0.8350378027316219,0.1575492341356668,3200.0,40.1,1.5,30.0
752,760,,,10.87308533916849,10.978118161925602,1849.7289464512148,193.0090965932503,0.21866071323469582,0.10503282275711179,3200.0,40.1,1.5,30.0
729,742,,,10.571115973741794,10.741794310722101,7111.51583469946,302.5024734726241,0.8948055597594724,0.17067833698030732,3200.0,45.1,1.5,30.0
750,761,,,10.846827133479211,10.99124726477024,2487.5406449655206,225.42607575259655,0.22726465348124147,0.14442013129102982,3200.0,45.1,1.5,30.0
729,745,,,10.571115973741794,10.781181619256017,8291.527582621786,329.0723537111217,0.9377116380686095,0.21006564551422358,3200.0,50.1,1.5,30.0
749,762,,,10.833698030634572,11.00437636761488,3065.4352862477826,246.76607629103384,0.23196571568445945,0.17067833698030732,3200.0,50.1,1.5,30.0
729,762,,,10.571115973741794,11.00437636761488,12941.74820218565,431.96292963925026,0.9780965534494306,0.4332603938730859,3200.0,55.1,1.5,30.0
729,762,,,10.571115973741794,11.00437636761488,13587.54935255661,438.91622836413603,1.0422105073927042,0.4332603938730859,3200.0,60.1,1.5,30.0
729,761,,,10.571115973741794,10.99124726477024,14114.336555896598,442.20414591214376,1.073931396456441,0.42013129102844715,3200.0,65.1,1.5,30.0
729,762,,,10.571115973741794,11.00437636761488,14916.71294509239,452.6583318564932,1.0860012097774159,0.4332603938730859,3200.0,70.1,1.5,30.0
729,761,,,10.571115973741794,10.99124726477024,15199.602350703966,453.15779217178283,1.1150679073829814,0.42013129102844715,3200.0,75.1,1.5,30.0
729,762,,,10.571115973741794,11.00437636761488,15765.082820224261,460.5807162668813,1.1060319715133096,0.4332603938730859,3200.0,80.1,1.5,30.0
729,760,,,10.571115973741794,10.978118161925602,15590.213413503636,454.3301624913759,1.1068648087395614,0.4070021881838084,3200.0,85.1,1.5,30.0
730,737,,,10.584245076586432,10.676148796498905,2752.165339385835,200.9831902677712,0.4640275446121167,0.09190371991247304,3200.0,0.1,2.0,30.0
730,738,,,10.584245076586432,10.689277899343544,3376.939695652892,218.75202916511623,0.5261843315700518,0.10503282275711179,3200.0,5.1,2.0,30.0
729,738,,,10.571115973741794,10.689277899343544,4029.656586405594,235.53563738913223,0.5944554430422506,0.11816192560175054,3200.0,10.1,2.0,30.0
729,739,,,10.571115973741794,10.702407002188183,4778.335423569482,253.26574899648182,0.683698314114425,0.1312910284463893,3200.0,15.1,2.0,30.0
756,760,,,10.925601750547045,10.978118161925602,845.2231391226401,134.55830543927974,0.19033312625879795,0.05251641137855678,3200.0,15.1,2.0,30.0
729,740,,,10.571115973741794,10.715536105032822,5429.178934896014,268.1827897052837,0.7339124056025772,0.14442013129102804,3200.0,20.1,2.0,30.0
753,761,,,10.886214442013129,10.99124726477024,1795.4117373592533,192.0536205245112,0.2143267296955189,0.10503282275711179,3200.0,20.1,2.0,30.0
729,741,,,10.571115973741794,10.72866520787746,6268.670865221326,285.52168015054883,0.8431689946628123,0.1575492341356668,3200.0,25.1,2.0,30.0
751,761,,,10.859956236323852,10.99124726477024,2289.691132106822,215.29301887598652,0.22223351932124102,0.1312910284463893,3200.0,25.1,2.0,30.0
729,742,,,10.571115973741794,10.741794310722101,7140.536885876367,302.82751316809515,0.9162616672061055,0.17067833698030732,3200.0,30.1,2.0,30.0
751,761,,,10.859956236323852,10.99124726477024,2494.161478478483,218.5736454139352,0.24536452058322888,0.1312910284463893,3200.0,30.1,2.0,30.0
729,743,,,10.571115973741794,10.75492341356674,7935.094869717764,318.05908162490346,0.9903400093426658,0.18380743982494607,3200.0,35.1,2.0,30.0
748,762,,,10.820568927789934,11.00437636761488,3462.528204529697,257.92683471784295,0.24925714656972264,0.18380743982494607,3200.0,35.1,2.0,30.0
729,763,,,10.571115973741794,11.017505470459518,13512.013424588078,440.1770942082413,1.0472582105104467,0.44638949671772465,3200.0,40.1,2.0,30.0
729,764,,,10.571115973741794,11.030634573304157,14859.63943575016,457.209987053799,1.1052412829279223,0.4595185995623634,3200.0,45.1,2.0,30.0
729,764,,,10.571115973741794,11.030634573304157,15789.668922345285,467.04452915055253,1.1921012854452955,0.4595185995623634,3200.0,50.1,2.0,30.0
729,765,,,10.571115973741794,11.043763676148796,17093.203708153043,482.3697554523057,1.2326156731264128,0.47264770240700216,3200.0,55.1,2.0,30.0
729,764,,,10.571115973741794,11.030634573304157,17519.073064614273,484.6563036626018,1.2752080158011063,0.4595185995623634,3200.0,60.1,2.0,30.0
729,765,,,10.571115973741794,11.043763676148796,18593.785759985905,497.18036015893983,1.3482257698791802,0.47264770240700216,3200.0,65.1,2.0,30.0
729,766,,,10.571115973741794,11.056892778993435,19402.91757273757,506.5110599311383,1.346394678694621,0.4857768052516409,3200.0,70.1,2.0,30.0
729,766,,,10.571115973741794,11.056892778993435,19938.6400321263,511.3454639729109,1.3686860756979127,0.4857768052516409,3200.0,75.1,2.0,30.0
729,766,,,10.571115973741794,11.056892778993435,20294.508702803316,514.313143083201,1.3656220094224905,0.4857768052516409,3200.0,80.1,2.0,30.0
729,766,,,10.571115973741794,11.056892778993435,20712.46936828542,518.0437692680711,1.3805668637309125,0.4857768052516409,3200.0,85.1,2.0,30.0
,,,,,,,,,,3200.0,0.1,0.5,45.0
,,,,,,,,,,3200.0,5.1,0.5,45.0
,,,,,,,,,,3200.0,10.1,0.5,45.0
,,,,,,,,,,3200.0,15.1,0.5,45.0
732,735,,,10.61050328227571,10.649890590809628,680.807307078931,117.87563733271973,0.207031199852588,0.03938730853391803,3200.0,20.1,0.5,45.0
732,735,,,10.61050328227571,10.649890590809628,725.4179748299937,119.127963338784,0.22654833938753494,0.03938730853391803,3200.0,25.1,0.5,45.0
731,735,,,10.597374179431071,10.649890590809628,975.3222574259419,137.39331508402788,0.24894768369770315,0.05251641137855678,3200.0,30.1,0.5,45.0
731,735,,,10.597374179431071,10.649890590809628,1043.9361689679886,138.94033555424696,0.2632345350839411,0.05251641137855678,3200.0,35.1,0.5,45.0
732,736,,,10.61050328227571,10.663019693654267,1083.8708524857318,140.17075349490125,0.2782216371401707,0.05251641137855678,3200.0,40.1,0.5,45.0
731,736,,,10.597374179431071,10.663019693654267,1399.5365858147688,157.39469486591835,0.30569742616299944,0.06564551422319553,3200.0,45.1,0.5,45.0
732,736,,,10.61050328227571,10.663019693654267,1222.4549840060267,143.60171170901125,0.32097933406359314,0.05251641137855678,3200.0,50.1,0.5,45.0
731,737,,,10.597374179431071,10.676148796498905,1659.8781403303742,171.91829598038763,0.31785521263273364,0.07877461706783428,3200.0,55.1,0.5,45.0
731,737,,,10.597374179431071,10.676148796498905,1736.811040887551,173.35096313346375,0.3238968712238759,0.07877461706783428,3200.0,60.1,0.5,45.0
731,738,,,10.597374179431071,10.689277899343544,1971.970429775692,185.98092124555342,0.3272609742247252,0.09190371991247304,3200.0,65.1,0.5,45.0
732,738,,,10.61050328227571,10.689277899343544,1810.0335988803606,175.09817293033373,0.33809848503483364,0.07877461706783428,3200.0,70.1,0.5,45.0
731,739,,,10.597374179431071,10.702407002188183,2242.4244337472596,198.48033091934303,0.3442950283363686,0.10503282275711179,3200.0,75.1,0.5,45.0
732,739,,,10.61050328227571,10.702407002188183,2032.3727702300262,187.35180404130352,0.33226668886333655,0.09190371991247304,3200.0,80.1,0.5,45.0
732,740,,,10.61050328227571,10.715536105032822,2281.4101341282058,199.4799166269057,0.34811456160318155,0.10503282275711179,3200.0,85.1,0.5,45.0
731,735,,,10.597374179431071,10.649890590809628,1056.0979214694023,139.66729181684207,0.25792956251201304,0.05251641137855678,3200.0,0.1,1.0,45.0
730,735,,,10.584245076586432,10.649890590809628,1390.7655998311384,157.2947794697522,0.2818903368758876,0.06564551422319553,3200.0,5.1,1.0,45.0
730,735,,,10.584245076586432,10.649890590809628,1553.9711271736742,160.93689118135455,0.31254460298476516,0.06564551422319553,3200.0,10.1,1.0,45.0
