,wav,10,30,50,70,90,110
0,8000.05,92991.98275274133,109862.90240168176,110641.47462145422,110818.89515067452,110008.11478647936,110200.15723688256
1,8000.05,92991.98275274133,109862.90240168176,110641.47462145422,110818.89515067452,110008.11478647936,110200.15723688256
2,8000.1,95739.47116706142,109947.82358772308,110548.46653742465,110845.87687539714,110184.01191416803,110275.83971175346
3,8000.15,104615.77594483207,109806.02220493183,110327.2333098119,110820.8612618481,110326.89881031975,110352.3895667956
4,8000.19,112515.19835331343,109947.58430101338,110222.78618085117,110810.08809303287,110377.2175497422,110356.65704648853
5,8000.24,120948.49329083785,110478.19960373579,110260.94586260755,110746.51478781352,110488.35829351061,110409.73050677555
6,8000.3,129331.1244934092,111292.11236064469,110378.22816165476,110715.04841923663,110685.2649498897,110478.55128501037
7,8000.35,134547.09617642825,111929.96775652398,110649.14182102462,110820.70338575091,110867.99203684747,110525.86446010722
8,8000.38,136055.21997876794,112428.28318009898,110959.12603492689,110867.61824821173,110976.34358358826,110586.44026667532
9,8000.4,136979.79383636205,112935.11688046825,111146.01214850214,110889.51139726165,111046.29172848248,110624.82243271399
10,8000.44,138740.92412302416,113666.04940498128,111545.14064937667,110997.34910113999,111141.11539709783,110661.221977652
11,8000.49,139418.44477455583,114218.9804975957,111719.10688597786,111084.56896087177,111281.45500906157,110690.52709279714
12,8000.55,136449.46763358105,114710.27961598274,111743.55947053479,111187.7473051858,111428.107406698,110738.01972437608
13,8000.6,130027.45493167294,115522.32808217678,111475.20932920773,111102.60064676756,111602.32555624956,110772.51879680796
14,8000.65,119069.31971443335,115990.44127091076,111239.49865402924,111067.43389639481,111761.10108822047,110787.65268016794
15,8000.69,111606.77685490622,116235.9250431256,111088.02716665641,111034.7530832661,111842.58115842065,110753.15610873736
16,8000.74,106912.69396595827,116699.12146850623,111107.66011192024,111068.63760673824,111900.87849746687,110692.29947158556
17,8000.8,103794.68680454475,117342.03896718251,111062.11590629829,111240.27030981831,111953.39937463903,110665.39590420744
18,8000.85,100210.03929802116,117818.30866246813,111314.77152366379,111478.84581353329,111993.81367977739,110622.61722570103
19,8000.9,98265.00569896941,117494.56092949599,111724.35965455274,111692.97447535553,112046.35997872222,110629.07973802292
20,8000.94,100100.45128102908,117312.10599163851,111989.86291503049,111869.44929709901,112076.6147774973,110656.01657133234
21,8000.99,103165.6201777786,117074.63405350568,112442.5745547845,112115.75931026194,112048.3041209836,110672.48948832376
22,8001.05,107102.78894287428,116055.44730671089,112884.99406830965,112250.06507871786,111957.12862169604,110676.51722836196
23,8001.1,112022.26973459568,114783.80006002092,113141.79404664505,112268.35944724201,111811.87158572432,110778.22557946779
24,8001.15,116765.19603075381,112654.43880043401,113258.20170394555,112339.58267361265,111619.28485367657,110856.10037069955
25,8001.19,118539.594232847,111015.02230933365,113491.09360668073,112408.04038444202,111466.04767928823,110925.56530766419
26,8001.24,117860.37019013597,109650.47092379203,113712.9777631035,112487.38065493359,111274.86380372763,111031.8224609321
27,8001.3,117259.00765511364,108904.796190978,114089.0654660863,112661.59255498048,111145.8237410133,111074.46128487134
28,8001.35,117344.23824873766,108338.54049258759,114509.6482000045,112780.01383183476,111046.39751624144,111127.97465013246
29,8001.4,116547.42141841828,108032.77693849514,114906.8254420838,112934.8892047141,110984.61498138783,111212.50536059609
30,8001.44,116121.63951326965,108193.97250283849,114712.97250062422,113091.55014887195,110982.81349434264,111248.04296310231
31,8001.49,117360.89726918575,108487.00064835421,114506.3417760053,113231.90537867136,111007.49368707392,111289.7333937019
32,8001.54,117197.10827053715,109484.08360316776,114442.69947657285,113299.02415444993,111040.34641200634,111274.84084871678
33,8001.59,114663.60617617067,110501.01623322013,114150.91604768347,113245.75271035351,111012.08990843515,111314.51055675217
34,8001.64,110814.05440240975,111317.71630319682,113726.60695342842,113129.00573703529,110994.28336725298,111355.4518329001
35,8001.69,106727.11380926054,111698.45606723808,113261.38882757816,113007.79093084767,110980.05665950396,111373.6899756948
36,8001.74,102433.23804899193,112304.82782633307,112825.62003628376,112863.4189744525,111013.25552068304,111389.53585063723
37,8001.79,98278.61224980249,112229.58492936412,112638.67527507336,112761.76502039595,111125.49676204442,111392.85118071242
38,8001.84,95110.98019416923,112741.08231425135,112702.55743416343,112702.94875812362,111192.05203464063,111450.93635115417
39,8001.89,93914.58662758309,113405.14642965834,112575.48233270251,112604.42956844691,111353.89419194442,111503.1607468272
40,8001.9,93847.26312481401,113584.76401580908,112549.52378165412,112577.10660845594,111394.34630968655,111521.58129417468
41,8001.94,95592.63358930836,113905.62719949851,112417.70223092417,112431.9471078909,111513.19667690976,111568.91629823828
42,8001.99,99242.09886128163,113769.12612078473,112488.51304728659,112084.20142889115,111640.01479392176,111656.983605238
43,8002.04,106079.47862627471,114079.39439099608,112537.59599557696,111810.39277491899,111749.10303077004,111730.47241263473
44,8002.09,114552.35135613481,114372.78503103585,112585.77825736758,111547.34035564364,111848.19461986313,111776.68592105752
45,8002.14,122264.62626180961,114162.6275539725,112529.64016646959,111284.31588111195,111933.73612623541,111800.61559620395
46,8002.19,127750.91978117157,114209.3785891975,112396.95556151347,110976.92648024608,112085.24108159254,111845.75333493428
47,8002.24,129222.6392799409,114695.29979486976,112187.59335132904,110616.03491439798,112225.69684053242,111852.11574645297
48,8002.29,129644.21301782811,114804.51898974704,111807.75171124669,110432.32642532467,112358.43593311554,111885.54441573744
49,8002.34,129614.88366194435,114571.82704492862,111389.80302719025,110399.30978008304,112471.48030005053,111954.31951632572
50,8002.39,129528.71520048015,114756.92664068539,111180.02208783434,110435.92005594281,112613.0913491801,112031.91383021227
51,8002.44,128539.68764055229,114537.31526455515,110820.01204422106,110487.34255714099,112697.80733720848,112127.99638033264
52,8002.49,126600.67603684374,114515.77044563228,110336.1425440007,110493.61401924686,112682.29964071704,112219.48440275513
53,8002.54,123062.95167751066,114908.70428347343,109955.05678593602,110553.02931299499,112564.01737944919,112325.68181275165
54,8002.59,120327.0331673454,115297.7269032733,109839.71059237259,110661.50333592201,112447.83548635672,112440.52618556883
55,8002.64,118734.79152491059,115195.43407380156,109558.8690713203,110822.3570824429,112342.60200843558,112509.34360696688
56,8002.69,116920.20085898189,114909.76826714344,109389.57725277224,111075.924382444,112232.86171203361,112569.97800258927
57,8002.74,114831.20144965583,114085.84194297425,109399.42414778446,111333.34162531042,112099.79288028745,112655.94539149168
58,8002.79,112164.11342598348,112794.3323569477,109464.05367601464,111568.11944564513,111870.46004589615,112738.25473919904
59,8002.84,108559.57490954321,111287.39953191963,109583.4218387362,111670.92457830984,111780.29029413205,112764.49778012482
60,8002.89,105339.47203647971,110156.1431725409,109561.81195038225,111745.94418194002,111791.51129843008,112757.53323383161
61,8002.94,103537.8544353841,108743.52092190385,109720.89892753375,111863.21455742377,111821.58122129348,112760.06580894932
62,8002.99,103715.32416753545,107097.49500858913,109912.6035887989,111900.08338657695,111805.48190645216,112775.30903684445
63,8003.04,105749.98484483498,105852.50881909173,110048.34675660222,111842.3147299132,111810.40732711142,112697.94763981938
64,8003.09,105823.40546141747,104573.33053153215,110288.68697260045,111803.98130121852,111888.713215808,112628.97812634043
65,8003.14,105045.9354860919,103937.4991378463,110626.36930852258,111803.67130422815,112019.15660788883,112616.22721201523
66,8003.19,103238.66087842683,103537.64921070205,110881.665370776,111790.68384184552,112136.9375793655,112578.22150764512
67,8003.24,98917.38883308583,103641.34904110989,111412.25557064371,111840.85324824319,112278.1186635047,112538.73384342476
68,8003.29,94543.15812755098,103275.12757003994,111622.5505848108,111938.79476183506,112415.24876651831,112432.09266046609
69,8003.34,91732.5184790218,103310.97809927753,111778.42899814475,111988.14025977162,112515.09931934948,112277.01853794757
70,8003.39,90533.0512629154,103584.77484671626,111770.00991637337,111992.69998995893,112448.40920348321,112248.45818498947
71,8003.44,91213.5587386262,103684.4234629505,111839.86400476152,112044.14040344887,112383.08770220222,112236.53055289836
72,8003.49,92343.81704317225,104489.39113998837,111697.61699724529,112101.12205700234,112331.14653642228,112213.07710686128
73,8003.54,92165.97739008162,105805.42719497513,111515.50705252803,112141.0143498229,112275.45604756236,112171.51460012581
74,8003.59,93752.8759250114,106669.1248393762,111389.73551486262,112240.89189117642,112234.66668289599,112187.59759106432
75,8003.64,97835.87850845723,107243.596560683,111131.33995355997,112453.10542286528,112273.92728772535,112231.85970811626
76,8003.69,102264.40719790844,108221.02198952902,111065.44600802624,112663.49669333652,112335.71622840759,112241.77027492312
77,8003.74,107050.55972930421,109093.80640936295,111200.36775380254,112835.93953528577,112375.77286341865,112256.1638468542
78,8003.79,111331.01814742413,110206.57177613882,111449.73354422521,113029.0809858174,112474.72032812056,112279.4940300481
79,8003.84,114775.49562133652,111419.51523702624,111397.68282799366,113088.97224245183,112563.89194273403,112316.12780202313
80,8003.89,118272.84666269121,112864.33204400133,111429.31125042247,113034.30595500197,112561.37873422363,112325.50363128753
81,8003.94,120569.6724252683,113815.49172734343,111410.46670358452,112870.80520756234,112556.85297765356,112279.70040256334
82,8003.99,123682.83062658772,115253.48684900062,111576.15406202011,112663.47757860369,112542.69737731025,112306.83570801825
83,8004.04,127594.6283278422,116187.37824633413,111811.6476868743,112414.8326897044,112535.36948610068,112314.98038379848
84,8004.09,129052.42153943735,116844.58313406569,112196.03121406643,112266.60928260119,112541.856474892,112271.97483718429
85,8004.14,128181.20884061024,117570.08386127035,112518.02095658837,112177.65350989962,112605.33031657063,112269.03637194513
86,8004.19,126573.16013108127,118078.2530408792,112836.66246361552,112150.0287491099,112704.16514722806,112306.60950669208
87,8004.24,124842.97699464753,118615.3049306496,113227.24548650773,112228.94606192551,112701.41823063682,112305.31236895375
88,8004.29,124263.35912585075,119108.398736809,113513.82450771058,112400.0628897007,112716.1420382008,112300.59974426527
89,8004.34,124653.95153037245,119550.81728790884,113781.39675117149,112533.61775081955,112702.86670232555,112326.84484591786
90,8004.39,123759.15645661659,119421.77907551851,114151.94801739248,112522.68232557789,112651.43631155157,112376.38255028958
91,8004.44,123683.64156775003,119006.03268791053,114410.9267696461,112519.29970354876,112580.177815517,112338.09413790882
92,8004.49,124316.8041347426,118678.23073597913,114434.68161500823,112482.06015411913,112514.30811589581,112304.06563076017
93,8004.54,124010.670129474,118719.70779555963,114581.16484095997,112494.52222465858,112428.95506195906,112245.77037858298
94,8004.59,123501.76923801503,118360.38256630446,114617.23208372526,112602.69792789394,112321.7413663619,112152.87368845052
95,8004.61,123516.89761872737,118129.76083121357,114670.7012395812,112704.09297081431,112281.75914496189,112131.5427227611
96,8004.64,121753.3158145081,117811.49325339426,114783.01701600812,112776.80111459277,112256.89203567762,112102.98745910989
97,8004.69,118016.26478009515,117284.27594168515,115043.76677893873,112895.24654930715,112202.17976015428,112100.37688242453
98,8004.74,113168.47047504823,116999.47386058143,115405.76985634712,112934.65827969524,112181.91283777005,112151.8982091056
99,8004.79,108618.58549579262,116320.43254399669,115716.90631859805,112963.3643934641,112216.01636460975,112148.49985109146
100,8004.84,106382.99933348014,115924.893871107,116023.20764890278,112939.89845622692,112275.30505387632,112149.30388758541
101,8004.89,105474.08237870372,115517.10148850485,116166.13841520777,112947.65913144994,112256.78051613591,112094.76335568201
102,8004.94,105012.87871465422,115037.72387505612,116027.98026634355,113044.25697124866,112258.69299912607,112009.38324623358
103,8004.99,105063.8100171326,114616.80854537075,115802.15336772327,113153.17733842609,112187.00667594156,111904.3671726562
104,8005.04,106410.13417464419,113702.5883887799,115549.5954840982,113273.80536245734,112129.01624222995,111833.88427434019
105,8005.09,109039.6155678062,112973.32086767197,115372.19335531615,113434.67314705152,112063.44271101996,111741.54731554684
106,8005.14,111273.8911763784,112566.86672194581,115110.74215824911,113506.97521608984,112051.59937779263,111649.02145781906
107,8005.19,113374.42546706207,112304.88105365833,114815.41819022804,113626.60088814783,112064.90673764393,111609.95171731028
108,8005.24,115198.43987611688,111905.74881388746,114487.75291053778,113786.61687373235,112049.6921713242,111504.08789601528
109,8005.29,115447.78145009962,111738.10776575851,114029.24730239886,113918.8719200758,112097.51589408594,111436.10615401814
110,8005.34,115288.3293639536,111431.4316683489,113447.88487002095,114030.39652014742,112086.67362901899,111408.70154382798
111,8005.39,116700.87094094863,111826.41193389733,112997.31780052996,114054.10099557755,112021.76823701999,111355.08331173513
112,8005.44,118721.70898676636,112056.65565521146,112579.42203214196,114047.33644713736,112011.2554784376,111199.14786808114
113,8005.49,118224.96950380086,112106.22666497974,112249.78481328455,113915.25575702025,112023.82838032341,111099.25574311358
114,8005.54,115296.6922931584,112115.83512667057,112120.34985905513,113713.86932298011,112016.28290904504,111014.32126637928
115,8005.59,111959.88730969669,112171.83056318968,111953.85105636175,113496.26897887244,112085.27799165194,110987.80850621084
116,8005.64,109228.83789768079,112356.24297101673,111872.09364208848,113224.91518221026,112142.8560670079,111001.55204376203
117,8005.69,106931.80713032295,112544.52718644947,111798.11708229038,112929.69958061568,112173.43617274218,111105.73868013769
118,8005.74,105195.76437006064,112681.42639480469,111741.54002181126,112631.56421614265,112240.11918760937,111183.36572872695
119,8005.79,105807.9202570144,112520.94127387537,111609.28017353159,112363.56021105687,112252.67843920729,111211.33645517657
120,8005.84,107839.4254160729,111726.60303611837,111431.96815805338,112098.03642773276,112250.98859216465,111278.24436467225
