sector,tic_id
14,156213379
20,156213379
26,156213379
9,437252965
24,188777430
25,188777430
26,188777430
24,188777432
25,188777432
26,188777432
26,316776595
25,359262409
5,140208626
18,381683192
14,13238985
15,13238985
19,449912747
5,373259418
1,231910539
2,231910539
28,231910539
28,231910539
19,141717360
20,141717360
26,141717360
16,333278247
17,333278247
4,441154168
16,1001172297
22,1001172297
23,1001172297
16,219823668
22,219823668
23,219823668
18,468750384
19,468750384
25,468750384
2,116157661
27,354170042
2,355508779
2,207238086
4,207238086
5,192850384
6,192850384
13,379508915
3,206466813
4,206466813
9,902714957
9,148576168
9,902714958
15,239621127
24,8417113
25,8417113
24,8417111
25,8417111
14,166012664
15,166012664
16,166012664
21,166012664
22,166012664
18,46476250
1,197737227
14,233087395
15,233087395
16,233087395
17,233087395
18,233087395
19,233087395
21,233087395
22,233087395
24,233087395
25,233087395
26,233087395
14,272279254
15,272279254
5,24452802
6,24452802
8,323493410
9,422247088
9,902626579
15,320209338
16,320209338
22,320209338
27,34641680
27,219298044
2,218963269
19,317891205
18,284012329
18,621076427
18,621076424
15,162337456
16,162337456
5,139670992
1,263080521
13,263080521
27,263080521
28,263080521
9,179294885
24,313494408
25,313494408
24,1201028260
25,1201028260
4,308242926
20,55104584
16,421856903
17,421856903
24,421856903
25,193635891
26,193635891
8,418103041
14,233789940
15,233789940
16,233789940
4,118653298
18,381782974
7,279857898
15,141821609
16,141821609
22,141821609
23,141821609
9,309025900
19,3023951
14,41688227
6,143209292
14,233049114
15,233049114
16,233049114
17,233049114
20,233049114
23,233049114
26,233049114
16,162521407
23,162521407
24,162521407
5,457195557
16,219037593
22,219037593
23,219037593
23,379117095
7,16327193
23,365088158
14,229400552
15,229400552
16,229400552
17,229400552
18,229400552
19,229400552
20,229400552
21,229400552
23,229400552
24,229400552
25,229400552
26,229400552
13,396088793
27,396088793
7,16223773
21,99832958
19,66216645
26,346751893
18,402980664
19,402980664
25,402980664
26,402980664
19,408698261
22,144310114
20,39697485
1,212323118
2,175373614
22,99270425
22,77139481
7,423127792
6,97479837
21,318359338
13,327783114
27,327783114
19,428991038
25,428991038
26,428991038
3,311403496
3,231720751
4,231720751
6,231720751
7,231720751
10,231720751
13,231720751
24,115280495
25,115280495
1,229807051
27,229807051
27,229807051
28,229807051
28,229807051
27,32485714
3,101058021
19,239702544
8,309857585
9,309857585
10,309857585
11,309857585
28,309857585
14,110553661
14,299028261
15,299028261
26,299028261
23,28346643
24,28346643
22,330800275
19,155551051
19,450219060
14,103656470
20,103656470
21,103656470
20,81214958
10,389304943
2,369396047
2,369396048
16,116306164
23,116306164
14,298160985
15,298160985
16,298160985
21,298160985
22,298160985
18,388601177
19,388601177
24,388601177
25,388601177
14,423629464
9,309091025
4,387609901
5,373246112
19,353773860
3,175516965
4,175516965
16,67149557
17,67149557
17,367359428
19,367359428
24,367359428
25,367359428
1,300710451
2,300710451
3,300710451
4,300710451
5,300710451
6,300710451
7,300710451
8,300710451
9,300710451
10,300710451
11,300710451
12,300710451
13,300710451
27,300710451
28,300710451
22,417518282
9,358676492
3,259374524
5,259374524
1,2028291051
1,441202321
1,2028291052
21,39715601
14,147671245
15,147671245
21,147671245
22,147671245
27,401625183
2,207148580
3,207148580
7,109984368
11,54249571
8,262746746
9,152700530
19,53018729
19,98615312
14,158014412
19,158014412
20,158014412
21,158014412
26,158014412
21,252963282
22,291017689
4,77318593
5,77318593
5,284704594
19,468874504
20,468874504
26,468874504
4,165184400
5,121640531
14,353938213
15,353938213
16,353938213
17,353938213
18,353938213
19,353938213
20,353938213
21,353938213
22,353938213
23,353938213
24,353938213
25,353938213
26,353938213
14,356336967
24,356336967
25,356336967
26,356336967
20,302907354
11,357509778
12,357509778
15,407690266
16,407690266
12,221213317
17,13828206
4,141328292
16,193971329
23,193971329
2,206617096
5,450104815
3,152970890
4,152970890
14,355867542
21,355867542
6,706004126
6,37662248
6,706004127
9,410411255
14,219808183
15,219808183
16,219808183
17,219808183
18,219808183
19,219808183
20,219808183
21,219808183
22,219808183
23,219808183
24,219808183
26,219808183
7,66226943
25,359478649
20,467899855
14,441740483
15,441740483
16,441740483
17,441740483
18,441740483
19,441740483
20,441740483
21,441740483
22,441740483
24,441740483
25,441740483
26,441740483
2,230982053
14,207339690
20,207339690
26,207339690
24,334680045
6,53600593
7,53600593
4,365370577
10,443183773
22,406761113
19,310969334
4,441504216
18,259143565
4,142888174
22,441639666
23,441639666
21,137967424
2,158596311
25,75967449
26,75967449
9,20500669
22,202357339
3,364264680
4,364264680
5,364264680
18,77548580
19,470653615
12,383671166
13,383671166
10,448744245
10,952563214
10,334971351
10,952563215
17,267740847
21,16151130
11,422527742
17,396382952
17,432843953
24,41701034
5,60876765
6,34436074
4,176851331
14,210259977
2,214664015
10,385353282
14,100013015
15,100013015
21,100013015
14,123129657
26,123129657
14,229614158
15,229614158
16,229614158
17,229614158
18,229614158
19,229614158
20,229614158
21,229614158
22,229614158
23,229614158
24,229614158
25,229614158
26,229614158
28,382463164
2,382463166
28,382463166
23,373730586
26,356226514
3,65347864
4,65347864
14,159505118
20,159505118
21,159505118
1,350332233
3,350332233
4,350332233
5,350332233
6,350332233
7,350332233
8,350332233
9,350332233
10,350332233
11,350332233
13,350332233
27,350332233
28,350332233
14,156201040
20,156201040
21,156201040
26,156201040
5,71012641
18,13352159
14,272781325
15,272781325
16,272781325
17,272781325
19,272781325
20,272781325
21,272781325
22,272781325
23,272781325
25,272781325
26,272781325
6,156289290
19,84348961
1,52284854
2,52284854
28,52284854
18,274802629
19,274802629
24,274802629
25,274802629
18,398184498
24,398184498
25,398184498
8,46907768
28,144201151
2,220391763
3,220391763
4,220391763
5,220391763
6,220391763
9,220391763
12,220391763
23,157997140
24,157997140
17,331805342
22,57008952
14,364970325
15,364970325
16,364970325
15,417948764
16,417948764
22,417948764
18,389839182
24,389839182
25,389839182
9,293627049
7,60074959
8,60074959
21,56861258
1,139200489
28,139200489
28,139200489
26,256113332
23,379190818
3,42055664
5,117846365
8,101366179
21,16164136
12,310657449
13,310657449
14,20821662
6,176448503
4,318886387
6,67282743
18,417234478
24,417234478
25,417234478
7,340638718
8,340638718
9,340638718
10,340638718
27,340638718
1,237931397
2,237931397
3,237931397
4,237931397
8,237931397
11,237931397
28,237931397
13,254033966
22,180628643
23,180628643
6,332855617
12,210904544
2,224283342
16,168747450
23,168747450
19,417705890
24,417705890
25,417705890
24,16884423
3,24249196
23,330796484
28,206605715
5,189057474
21,137968212
24,236333842
25,236333842
14,26417386
15,26417386
9,23557020
4,302769205
20,80858178
5,200384712
6,200384712
23,365060642
3,257397333
14,402759334
6,264542390
