TIC,Sector,snr,period_d,period_h,angDist,designation,ra,ra_error,dec,dec_error,parallax,g_rp,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg
269829656,1,2.83641269629679,0.41426652936099,9.94239670466376,1.395061,Gaia DR2 6800238044930953600,308.406907390278,0.09636287082518,-25.9481296257961,0.064686347146412,23.054113580114,1.3473282,308.40664657459,-25.9478211325,,,321-226647,20333759-2556521,,J203337.63-255652.9,6.80023804493095E+018,13828751,,STAR,tmgaia2,tmgaia2,54.47,2,-71.65,2,sblink,,,15.308,0.092,13.1084,0.000748,11.635,0.008,cdwrf,cdwrf,3013,157,4.7444,0.0079,-0.25,0.28,0.492,0.015,0.49,0.02,,,,,,,308.40690739028,-25.9481296258
395130640,12,2.61595517372939,0.413645830660347,9.92749993584832,2.235691,Gaia DR2 5198221531355454464,169.235108781381,0.048074323185015,-80.4643537840296,0.052083062081545,35.3984573511088,1.344305,169.23875127558,-80.46450062503,,,048-009247,11165730-8027522,,J111656.71-802751.9,5.19822153135545E+018,35250844,,STAR,tmgaia2,tmgaia2,-140.147,0.099,34.109,0.095,gaia2,35.3985,0.0529,15.011,0.053,13.2232,0.001138,11.753,0.008,cdwrf,cdwrf,3016,157,4.8776,0.0006,,,0.346,0.01,0.33,0.02,28.2268,0.0424,,,0.0424,0.0425,169.23510878138,-80.46435378403
176379866,5,2.66176881094669,0.407447376617765,9.77873703882637,1.678542,Gaia DR2 3200642584264825728,72.2025189402616,0.051170070934142,-4.3705856709025,0.043385448285965,21.3907312717515,1.3188906,72.20239610428,-4.37013578339,,,429-007218,04484857-0422123,1.23767630455826E+018,J044848.59-042213.5,3.20064258426483E+018,2019340,,STAR,tmgaia2,tmgaia2,28.447,0.109,-104.49,0.093,gaia2,21.3907,0.0695,17.1,0.2,15.3325,0.000778,13.901,0.008,cdwrf,cdwrf,3081,157,5.0242,0.0192,,,0.224,0.007,0.193,0.02,46.6869,0.1528,,,0.1523,0.1532,72.20251894026,-4.3705856709
401945166,5,2.61017667990078,0.395055651015442,9.48133562437062,1.607642,Gaia DR2 3250466403923273088,57.6620532388525,0.061585619249356,-1.35342170102772,0.050696112272965,22.4672774764341,1.3095055,57.66162003075,-1.35353059452,,,444-005159,03503879-0121128,,J035038.88-012112.5,3.25046640392327E+018,55567,,STAR,tmgaia2,tmgaia2,100.588,0.139,25.291,0.125,gaia2,22.4673,0.0755,17.31,0.2,15.2177,0.000446,13.8,0.007,cdwrf,cdwrf,3104,157,5.0066,0.016,,,0.235,0.007,0.205,0.02,44.4527,0.1503,,,0.1497,0.1508,57.66205323885,-1.35342170103
15231995,26,2.67667438980446,0.390579426761915,9.37390624228596,2.573083,Gaia DR2 4511615999154663296,279.952397438538,0.0632717620463,16.8133443688325,0.070694775551275,41.973773296506,1.3596954,279.95180048095,16.813773693,,,535-078084,18394841+1648497,,J183948.52+164848.5,4.51161599915466E+018,,,STAR,tmgaia2,tmgaia2,132.721,0.157,-99.714,0.149,gaia2,41.9738,0.0773,17.2,0.2,14.8319,0.00061,13.338,0.008,cdwrf,cdwrf,2966,157,5.1382,0.0391,,,0.164,0.005,0.135,0.02,23.8081,0.0442,,,,,279.95239743854,16.81334436883
139804696,1,3.67219356374757,0.385724262066464,9.25738228959514,1.755548,Gaia DR2 6465741903107929472,324.647775894163,0.157819755505324,-50.8531783597538,0.172086103071848,21.4476670437535,1.2938738,324.64710069422,-50.85294149283,,,196-195770,21383530-5051107,,J213835.44-505111.1,6.46574190310793E+018,26086330,,STAR,tmgaia2,tmgaia2,99.003,4.038,-55.014,4.038,hsoy,,,15.785,0.137,13.9029,0.000818,12.507,0.007,cdwrf,cdwrf,3149,157,4.8492,0.0026,,,0.376,0.012,0.364,0.021,,,,,,,324.64777589416,-50.85317835975
310634695,19,2.56426117853996,0.383201364429482,9.19683274630758,2.049824,Gaia DR2 215431161523106560,83.5910093171767,0.054442870697435,51.4629617985855,0.056776559640405,25.4512314811407,1.2872133,83.59064420003,51.46348378205,,,708-038868,05342175+5127486,,J053421.82+512747.2,2.15431161523107E+017,55530631,,STAR,tmgaia2,tmgaia2,52.832,0.095,-121.235,0.095,gaia2,25.4512,0.0667,14.87,0.056,13.4624,0.001212,12.073,0.008,cdwrf,cdwrf,3147,157,4.8504,0.0016,,,0.375,0.011,0.362,0.02,39.2466,0.1036,,,0.1033,0.1039,83.59100931718,51.46296179859
356851419,12,2.85538406007483,0.383020293934198,9.19248705442076,3.713662,Gaia DR2 5199652167781637632,176.61736033095,0.135497163473351,-79.7145566050123,0.109478536791618,20.9424858186052,1.4220896,176.62310861251,-79.71466014602,,,,11462953-7942527,,J114628.63-794252.4,5.19965216778164E+018,,,STAR,tmgaia2,tmgaia2,-238.38,2,24.06,2,sblink,,,18.4,0.2,16.3988,0.001229,14.826,0.008,cdwrf,cdwrf,2895,157,5.1032,0.0319,,,0.18,0.006,0.149,0.02,,,,,,,176.61736033095,-79.71455660501
333289147,10,2.81587767704062,0.375603966810623,9.01449520345496,1.831505,Gaia DR2 6129725823911485952,181.35409824306,0.052727363763802,-49.7951695712412,0.046745389236271,20.8139852300404,1.2934256,181.35477418518,-49.79490796415,,,,12052515-4947415,,J120525.03-494742.3,6.12972582391149E+018,,,STAR,tmgaia2,tmgaia2,-101.343,0.111,-60.76,0.077,gaia2,20.814,0.0896,,,15.6821,0.000677,14.285,0.007,cdwrf,cdwrf,3136,157,5.09,0.0298,,,0.186,0.006,0.156,0.02,47.9795,0.2079,,,0.207,0.2088,181.35409824306,-49.79516957124
273550465,1,3.65754650958681,0.362644574016548,8.70346977639716,2.738,Gaia DR2 6377601683771008384,352.680782112817,0.050394172569549,-76.0555157752451,0.046003242173554,21.1193117822523,1.318512,352.67768069227,-76.05537487008,,,,23304268-7603193,,J233043.13-760319.7,6.37760168377101E+018,,,STAR,tmgaia2,tmgaia2,173.588,0.104,-32.722,0.094,gaia2,21.1193,0.055,17.12,0.2,15.5276,0.000715,14.097,0.008,cdwrf,cdwrf,3082,157,5.0481,0.0228,,,0.209,0.006,0.178,0.02,47.2857,0.1239,,,0.1235,0.1242,352.68078211282,-76.05551577525
258804174,14,3.26803425738643,0.353060126533152,8.47344303679566,1.28037,Gaia DR2 2262968996398764288,287.384423869868,0.055135464023008,71.6910050277832,0.071982062499019,20.6172978720745,1.3438053,287.38330692591,71.69094691805,,,,19093198+7141273,,J190932.16+714127.5,2.26296899639876E+018,,,STAR,tmgaia2,tmgaia2,81.495,0.107,13.496,0.131,gaia2,20.6173,0.0632,18.03,0.2,16.240999,0.001477,14.774,0.008,cdwrf,cdwrf,3020,157,5.1338,0.0375,,,0.166,0.005,0.137,0.02,48.4357,0.1493,,,0.1488,0.1497,287.38442386987,71.69100502778
237880881,1,3.26444358886138,0.351672522090131,8.44014053016315,1.515076,Gaia DR2 4709338941785748480,19.5288579466385,0.059155268823214,-62.9832903337778,0.054373004068391,21.7070005762443,1.3691492,19.52799325306,-62.98313921905,,,,01180670-6258591,,J011806.85-625859.6,4.70933894178575E+018,,,STAR,tmgaia2,tmgaia2,91.229,0.106,-35.097,0.104,gaia2,21.707,0.0677,,,14.9796,0.001022,13.474,0.008,cdwrf,cdwrf,2956,157,4.9547,0.0091,,,0.275,0.008,0.248,0.02,46.0075,0.1445,,,0.1441,0.1449,19.52885794664,-62.98329033378
192204373,20,2.68861272961415,0.350354326059966,8.40850382543919,0.460982,Gaia DR2 977638808311811968,105.85122967001,0.059928303015474,46.3740091791549,0.061137620218799,28.7382421596854,1.3169432,105.85121399527,46.37388158617,,,,07032429+4622258,,J070324.29+462226.2,9.77638808311812E+017,53562046,,STAR,tmgaia2,tmgaia2,2.512,0.11,29.635,0.114,gaia2,28.7382,0.0653,,,15.1779,0.000789,13.747,0.008,cdwrf,cdwrf,3072,157,5.0986,0.0319,,,0.182,0.005,0.152,0.02,34.7621,0.0795,,,0.0793,0.0797,105.85122967001,46.37400917915
