,istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,snr,period,period_h,TIC,Sector,note,dur_over_period,
462,6173,6218,469534,469579,1879.58550902898,1879.64801006876,1069.44929604824,7.84566509929117,0.744257807731628,0.062501039778681,17887,2.48165927784871,0.164320865009436,3.94370076022646,462637035,21,I,0.380359729575985,
466,11059,11085,455295,455321,1859.80883365563,1859.84494520635,426.181376594246,4.63832573027295,0.739938735961914,0.0361115507244,17334,3.29248425061288,0.164368248499729,3.9448379639935,462637035,20,I,0.219699066297829,
798,3543,3560,567372,567389,2015.46947624937,2015.49308739974,217.311601073968,4.43614826723651,0.482629179954529,0.023611150372517,16643,2.68783189182543,0.069759170839204,1.6742201001409,461579405,26,I,0.338466614331484,
910,16924,16932,542322,542330,1980.67765761601,1980.68876891076,186.497516950211,11.0307199376668,0.43336820602417,0.011111294756802,17918,2.2144456937652,0.053152139856618,1.27565135655883,455959622,24,I,0.209046988263795,
66,14436,14453,281948,281965,1619.05219964976,1619.07581073919,1235.55562218376,9.3814721225033,3.04460906982422,0.023611089430233,17766,2.05479069628094,0.135275164432922,3.24660394639013,454254671,11,norot,0.174541199260126,
869,1492,1554,191849,191911,1493.91771029625,1494.0038235424,981.868157598378,11.386133099155,0.453952431678772,0.086113246144578,16063,3.18866531799214,0.088201683486619,2.11684040367886,452922110,7,GOT,0.976322024030779,
1246,7425,7517,415823,415915,1804.98768514875,1805.11546372963,1580.94801789203,5.60353460420472,0.337233781814575,0.127778580875201,13122,2.06133270448019,0.213788944216133,5.13093466118718,441811894,18,complex shape,0.597685634978493,
1225,10711,10724,556429,556442,2000.27235898036,2000.29041434015,140.980184530603,2.19331061927369,0.341262459754944,0.018055359791561,16947,2.01394674442768,0.057166641101722,1.37199938644134,441740483,25,I,0.315837338762538,
210,6572,6603,570433,570466,2019.71960079828,2019.76543336745,1172.66139711764,6.48968890768116,1.29834747314453,0.045832569177719,16643,2.27977640049681,0.186871821953884,4.48492372689322,441606549,26,I,0.245262066257531,
438,2960,2997,445999,446036,1846.90194759949,1846.95333675708,1041.6553509016,5.84389044793655,0.782328128814697,0.051389157583799,16039,2.05449224671209,0.187026127891132,4.48862706938718,441606549,20,complex shape,0.274769938100374,
204,7035,7053,122317,122335,1397.34534000372,1397.37034008933,933.910438120942,8.51785457048137,1.31945443153381,0.025000085610373,13153,2.0189977183984,0.062923039156046,1.51015293974511,441497175,3,norot,0.397312112474002,
463,7057,7072,122339,122355,1397.37589566355,1397.39811795949,525.341248358863,8.53277622300934,0.741896033287048,0.02222229594031,13153,2.0189977183984,0.062923039156046,1.51015293974511,441497175,3,I,0.353166284374787,
