tstamp,ID,phi_a,theta_a,a,fwhm1,fwhm2,Fth,phi0,i_mu,i_sigma,radius_deg,R_Rsun,qlum_erg_s,median,log_prob,nparam
29_10_2020_10_58,452922110,15.4,0.96509650330182,0.602553675464244,0.5,1.3,90616356361.5605,-2.7,0.860933,0.0610865,10.0006639688336,0.1373,1.3E+030,314.115858568744,log_probability,7
30_10_2020_07_13,44984200,15.1,1.13962942850125,0.302553675464244,1.4,3.2,90616356361.5605,-3.4,0.578451807009834,0.028255854448131,5.76462899778773,0.142339,9.3084509E+029,1710.08448932622,log_probability,7
30_10_2020_07_14,44984200a,15.1,1.22689589110097,0.302553675464244,1.4,3.2,90616356361.5605,-3.4,0.578451807009834,0.028255854448131,5.76462899778773,0.142339,9.3084509E+029,1710.08448932622,log_probability_2flares,11
30_10_2020_07_14,44984200b,20.1,1.22689589110097,0.052553675464244,1,1.8,90616356361.5605,-3.4,0.578451807009834,0.028255854448131,5.76462899778773,0.142339,9.3084509E+029,1710.08448932622,log_probability_2flares,11
30_10_2020_11_30,277539431,8.1,1.30899693899575,1.8,4.96,4.96,90616356361.5605,-2.61799387799149,1.52021431247817,0.04161485186356,15.3168675369726,0.145216,1.1263702E+030,778.055544903006,log_probability,7
30_10_2020_14_04,237880881a,2.0,1.139629428501253,1.902553675464244,0.15,0.2,90616356361.5605,6.0,0.371856147055469,0.040246261945576005,23.71773893797157,0.27515100000000003,8.8706892e+30,615.2948543528964,log_probability_2flares,11
30_10_2020_14_04,237880881b,4.9,1.139629428501253,0.52553675464244,1.1,1.4,90616356361.5605,6.0,0.371856147055469,0.040246261945576005,23.71773893797157,0.27515100000000003,8.8706892e+30,615.2948543528964,log_probability_2flares,11
02_11_2020_11_17,44984200b,17.8,1.139629428501253,0.05053675464244,1.1,1.4,90616356361.5605,5.5,0.578451807009834,0.028255854448131,7.038164305226554,0.14233900000000002,9.3084509e+29,1705.3379629302544,log_probability_2flares,11
02_11_2020_11_17,44984200a,12.0,1.139629428501253,0.4502553675464244,1.45,2.2,90616356361.5605,5.5,0.578451807009834,0.028255854448131,7.038164305226554,0.14233900000000002,9.3084509e+29,1705.3379629302544,log_probability_2flares,11
05_11_2020_10_05,452922110,15.4,0.96509650330182,0.602553675464244,0.5,1.3,90616356361.5605,-2.7,0.860933,0.0610865,10.0006639688336,0.1373,1.3E+030,314.115858568744,log_probability,7
05_11_2020_10_19,237880881a,2,1.13962942850125,1.90255367546424,0.15,0.2,90616356361.5605,6,0.371856147055469,0.040246261945576,23.7177389379716,0.275151,8.8706892E+030,615.294854352896,log_probability_2flares,11
05_11_2020_10_19,237880881b,4.9,1.13962942850125,0.52553675464244,1.1,1.4,90616356361.5605,6,0.371856147055469,0.040246261945576,23.7177389379716,0.275151,8.8706892E+030,615.294854352896,log_probability_2flares,11
06_11_2020_07_58,237880881a,2,1.13962942850125,1.90255367546424,0.15,0.2,90616356361.5605,6,0.371856147055469,0.040246261945576,23.7177389379716,0.275151,8.8706892E+030,615.294854352896,log_probability_2flares,11
06_11_2020_07_58,237880881b,4.9,1.13962942850125,0.52553675464244,1.1,1.4,90616356361.5605,6,0.371856147055469,0.040246261945576,23.7177389379716,0.275151,8.8706892E+030,615.294854352896,log_probability_2flares,11
06_11_2020_15_47,44984200,15.1,1.13962942850125,0.302553675464244,1.4,3.2,90616356361.5605,-3.4,0.578451807009834,0.028255854448131,5.76462899778773,0.142339,9.3084509E+029,1710.08448932622,log_probability,7
