tstamp,ID,phi_a,theta_a,a,fwhm1,fwhm2,Fth,phi0,i_mu,i_sigma,radius_deg,R_Rsun,qlum_erg_s,median,log_prob,nparam
07_12_2020_15_44,452922110,15.4,0.96509650330182,0.602553675464244,0.5,1.3,90616356361.5605,-2.7,0.860933,0.0610865,10.0006639688336,0.1373,1.3e+30,314.115858568744,log_probability,7
07_12_2020_19_42,44984200a,12.0,1.13962942850125,0.450255367546424,1.45,2.2,90616356361.5605,5.5,0.578451807009834,0.028255854448131,7.03816430522655,0.14233900000000002,9.3084509e+29,1705.33796293025,log_probability_2flares,11
07_12_2020_19_42,44984200b,17.8,1.13962942850125,0.050536754642440014,1.1,1.4,90616356361.5605,5.5,0.578451807009834,0.028255854448131,7.03816430522655,0.14233900000000002,9.3084509e+29,1705.33796293025,log_probability_2flares,11
07_12_2020_15_26,277539431,8.0,1.41,1.5,4.96,4.96,90616356361.5605,-2.6179938779914904,1.5202143124781695,0.04161485186356,15.316867536972596,0.145216,1.1263702e+30,778.055544903006,log_probability,7
07_12_2020_07_47,237880881a,2.0,1.13962942850125,1.90255367546424,0.15,0.2,90616356361.5605,6.0,0.371856147055469,0.040246261945576005,23.7177389379716,0.27515100000000003,8.8706892e+30,615.294854352896,log_probability_2flares,11
07_12_2020_07_47,237880881b,4.9,1.13962942850125,0.52553675464244,1.1,1.4,90616356361.5605,6.0,0.371856147055469,0.040246261945576005,23.7177389379716,0.27515100000000003,8.8706892e+30,615.294854352896,log_probability_2flares,11
07_12_2020_18_46,44984200,15.1,1.13962942850125,0.30255367546424394,1.4,3.2,90616356361.5605,-3.4,0.578451807009834,0.028255854448131,5.764628997787732,0.14233900000000002,9.3084509e+29,1710.0844893262195,log_probability,7
08_12_2020_09_36,237880881a,2.0,1.13962942850125,1.90255367546424,0.15,0.2,90616356361.5605,6.0,0.371856147055469,0.040246261945576005,23.7177389379716,0.27515100000000003,8.8706892e+30,615.294854352896,log_probability_2flares,11
08_12_2020_09_36,237880881b,4.9,1.13962942850125,0.52553675464244,1.1,1.4,90616356361.5605,6.0,0.371856147055469,0.040246261945576005,23.7177389379716,0.27515100000000003,8.8706892e+30,615.294854352896,log_probability_2flares,11
08_12_2020_10_13,452922110,15.4,0.96509650330182,0.602553675464244,0.5,1.3,90616356361.5605,-2.7,0.860933,0.0610865,10.0006639688336,0.1373,1.3e+30,314.115858568744,log_probability,7
